rank,username,user_slug,country_code,country_name,score,finish_time,data_region,contest_id,problem_3957_date,problem_3957_fail_count,problem_3957_lang,problem_3957_submission_id,problem_4055_date,problem_4055_fail_count,problem_4055_lang,problem_4055_submission_id,problem_4056_date,problem_4056_fail_count,problem_4056_lang,problem_4056_submission_id,problem_4068_date,problem_4068_fail_count,problem_4068_lang,problem_4068_submission_id
0,BrickByBit,BrickByBit,IN,India,18,1760236817,US,1219,1760236497,0,java,1798862889,1760236602,0,java,1798865892,1760236817,0,java,1798871437,1760236354,0,java,1798857697
1,thor_77,thor_77,,,18,1760236881,US,1219,1760236855,0,cpp,1798872435,1760236395,0,cpp,1798859414,1760236881,0,cpp,1798873124,1760236270,0,cpp,1798854967
2,Trigger,triggerxcpp,IN,India,18,1760236993,US,1219,1760236993,0,cpp,1798875951,1760236473,0,cpp,1798862120,1760236905,0,cpp,1798873705,1760236333,0,cpp,1798856788
3,dawood srivastava,algo-paglu,,,18,1760237006,US,1219,1760236480,0,cpp,1798862346,1760236333,0,cpp,1798856800,1760236706,1,cpp,1798868562,1760236289,0,cpp,1798855286
4,灵茶山艾府,endlesscheng,,,18,1760237038,CN,1261,1760237028,0,golang,669786753,1760237034,0,golang,669786785,1760237031,0,golang,669786766,1760237038,0,golang,669786809
5,Lily_mills,Lily_mills,CN,China,18,1760237038,US,1219,1760237002,0,golang,1798876174,1760236470,0,golang,1798862013,1760237038,0,golang,1798877087,1760236431,0,golang,1798860735
6,SheenYangYun3,SheenYangYun3,,,18,1760237099,US,1219,1760236374,0,cpp,1798858558,1760236532,0,cpp,1798863963,1760236512,0,cpp,1798863363,1760237099,0,cpp,1798878585
7,parallel_stream,parallel_stream,GL,Greenland,18,1760237185,US,1219,1760236891,0,python3,1798873397,1760236535,0,python3,1798864061,1760237185,0,python3,1798880697,1760236363,0,python3,1798858076
8,jk1,y2587w,,,18,1760237204,US,1219,1760237204,0,python3,1798881200,1760236678,0,python3,1798867806,1760236830,0,python3,1798871810,1760236325,0,python3,1798856450
9,Cranky 6agarinizJ,cranky-6agarinizj,,,18,1760237210,CN,1261,1760237149,0,python3,669787440,1760237180,0,python3,669787596,1760237168,0,python3,669787530,1760237210,0,python3,669787750
10,Alex Wice,awice,TH,Thailand,18,1760237235,US,1219,1760237235,0,python3,1798881912,1760236402,0,python3,1798859702,1760236943,0,python3,1798874681,1760236239,0,python3,1798854693
11,kashsuks,kashsuks,,,18,1760237285,US,1219,1760237285,0,python3,1798883156,1760236955,0,python3,1798874984,1760237053,0,python3,1798877454,1760236280,0,python3,1798855124
12,TsReaper,tsreaper,,,18,1760237319,CN,1261,1760237319,0,cpp,669788395,1760236412,0,cpp,669783290,1760236980,0,cpp,669786491,1760236247,0,cpp,669782250
13,arignote,arignote,,,18,1760237414,US,1219,1760237114,1,java,1798878925,1760237054,0,java,1798877475,1760237064,0,java,1798877724,1760237047,0,java,1798877275
14,Ma Lin,Ma_Lin,,,18,1760237456,US,1219,1760237456,0,cpp,1798887134,1760236448,0,cpp,1798861296,1760237071,0,cpp,1798877905,1760236274,0,cpp,1798855013
15,Medapati Manasa,medapati_manasa,IN,India,18,1760237473,US,1219,1760236798,0,cpp,1798870951,1760237012,0,cpp,1798876410,1760237473,0,cpp,1798887578,1760236331,0,cpp,1798856701
16,unstbl,unstbl,,,18,1760237500,US,1219,1760237200,0,python3,1798881083,1760236605,0,python3,1798865993,1760237095,1,python3,1798878480,1760236356,0,python3,1798857772
17,physics0523,physics0523,JP,Japan,18,1760237522,US,1219,1760237222,1,cpp,1798881619,1760236450,0,cpp,1798861353,1760236765,0,cpp,1798870076,1760236264,0,cpp,1798854902
18,zfb是我儿,upbeat-dewdneysxp,,中国,18,1760237539,CN,1261,1760237539,0,cpp,669789585,1760237501,0,cpp,669789383,1760237515,0,cpp,669789453,1760237490,0,cpp,669789327
19,sriley_prime,sriley_prime,,,18,1760237544,US,1219,1760237244,0,python3,1798882138,1760236768,0,python3,1798870158,1760237085,1,python3,1798878230,1760236335,0,python3,1798856864
20,Hoptful Vspact,kmnasdpppsdm1236,,中国,18,1760237549,CN,1261,1760237542,0,python3,669789608,1760237518,0,python3,669789464,1760237549,0,python3,669789634,1760237508,0,python3,669789420
21,jojo,pk8pPojgum,,,18,1760237550,US,1219,1760236373,0,cpp,1798858488,1760236950,1,cpp,1798874862,1760236827,1,cpp,1798871717,1760236475,0,cpp,1798862192
22,Ankit Rajpoot,arajAnkit,IN,India,18,1760237556,US,1219,1760236916,0,cpp,1798874007,1760237431,0,cpp,1798886553,1760237252,0,cpp,1798882341,1760237556,0,cpp,1798889624
23,AnkurPansara,user0129g,IN,India,18,1760237583,US,1219,1760237283,0,python3,1798883089,1760236710,0,python3,1798868657,1760237027,1,python3,1798876790,1760236409,0,python3,1798859953
24,Dezhonger,dezhonger,CN,China,18,1760237585,US,1219,1760237585,0,cpp,1798890280,1760236597,0,cpp,1798865775,1760237070,0,cpp,1798877868,1760236352,0,cpp,1798857574
25,Kurimanju,Kurimanju,,,18,1760237589,US,1219,1760237105,0,python3,1798878726,1760236513,0,python3,1798863401,1760237589,0,python3,1798890375,1760236628,0,python3,1798866542
26,OTTFF,OTTFF,CN,China,18,1760237639,US,1219,1760237639,0,cpp,1798891516,1760236470,0,cpp,1798862020,1760237083,0,cpp,1798878169,1760236267,0,cpp,1798854932
27,草莓奶昔🍓,981377660lmt,,南极洲,18,1760237644,CN,1261,1760237644,0,golang,669790127,1760236478,0,python3,669783693,1760237310,0,python3,669788347,1760236296,0,python3,669782499
28,YYDS-996,996-YYDS,US,United States,18,1760237663,US,1219,1760237663,0,python3,1798892085,1760236501,0,python3,1798863002,1760237059,0,python3,1798877593,1760236297,0,python3,1798855488
29,Sneha Kumari,Sneha2208,IN,India,18,1760237677,US,1219,1760237677,0,cpp,1798892394,1760236661,0,cpp,1798867418,1760237157,0,cpp,1798880038,1760236328,0,cpp,1798856603
30,MM1551,Primitive_Man,US,United States,18,1760237716,US,1219,1760237716,0,python3,1798893307,1760237231,0,python3,1798881835,1760237514,0,python3,1798888618,1760236912,0,python3,1798873928
31,kezixuan,kezixuan,,,18,1760237737,US,1219,1760236629,0,cpp,1798866582,1760236370,0,cpp,1798858356,1760236837,3,cpp,1798871981,1760236288,0,cpp,1798855269
32,FreeYourMind,freeyourmind,,,18,1760237753,US,1219,1760237724,0,python3,1798893498,1760237742,0,python3,1798893911,1760237733,0,python3,1798893700,1760237753,0,python3,1798894168
33,blackpanther__7,blackpanther__7,,,18,1760237768,US,1219,1760237346,0,cpp,1798884599,1760237629,0,cpp,1798891262,1760237700,0,cpp,1798892898,1760237768,0,cpp,1798894543
34,uwi,uwi,JP,Japan,18,1760237791,US,1219,1760237213,0,java,1798881385,1760236511,0,java,1798863337,1760237491,1,java,1798888045,1760236261,0,java,1798854877
35,Manu Bharadwaj,the_bharadwaj,IN,India,18,1760237809,US,1219,1760237509,0,java,1798888514,1760236422,0,python3,1798860401,1760237276,1,java,1798882945,1760236311,0,python3,1798855944
36,Relaxed Visvesvaraya,cjycleaner,,,18,1760237824,CN,1261,1760237458,0,cpp,669789150,1760237434,0,cpp,669789022,1760237524,1,cpp,669789494,1760237420,0,cpp,669788948
37,That Panda,that_panda,US,United States,18,1760237830,US,1219,1760237830,0,java,1798896029,1760236797,0,java,1798870925,1760237287,0,java,1798883217,1760236545,0,java,1798864344
38,Krishna,adityaanand-in,IN,India,18,1760237834,US,1219,1760237234,0,cpp,1798881894,1760236585,0,cpp,1798865412,1760237118,2,cpp,1798879051,1760236446,0,cpp,1798861234
39,Stressed Visvesvaraya,ama2ing-kilbyvyl,,,18,1760237854,CN,1261,1760236413,0,python3,669783298,1760236810,2,python3,669785549,1760237254,0,python3,669788034,1760236483,0,python3,669783723
40,Hanifa Septhi,hanifasepthi,ID,Indonesia,18,1760237875,US,1219,1760237875,0,cpp,1798897028,1760236968,0,cpp,1798875322,1760237225,0,cpp,1798881683,1760236350,0,cpp,1798857494
41,shubhamprd585,shubhamprd585,,,18,1760237915,US,1219,1760237915,0,cpp,1798897915,1760236954,0,cpp,1798874949,1760237660,0,cpp,1798892016,1760236291,0,cpp,1798855339
42,raincoat911,raincoat911,US,United States,18,1760237931,US,1219,1760237235,0,cpp,1798881913,1760236533,0,cpp,1798864002,1760237931,0,cpp,1798898310,1760236274,0,cpp,1798855024
43,AR_06,AR_06,,,18,1760237971,US,1219,1760237413,0,cpp,1798886135,1760236709,0,cpp,1798868638,1760237971,0,cpp,1798899237,1760236429,0,cpp,1798860646
44,krism,krism,,,18,1760237977,CN,1261,1760237977,0,python3,669792032,1760236525,0,python3,669783968,1760237375,0,python3,669788715,1760236276,0,python3,669782369
45,Limitless09,Limitless09,,,18,1760237983,US,1219,1760237683,0,python3,1798892532,1760237139,1,cpp,1798879597,1760237303,0,cpp,1798883595,1760236414,0,python,1798860118
46,pku_erutan,pku_erutan,,中国,18,1760238013,CN,1261,1760237292,0,python3,669788261,1760236644,0,python3,669784648,1760238013,0,python3,669792219,1760236377,0,python3,669783055
47,kzyKT,kzyKT,JP,Japan,18,1760238021,US,1219,1760238021,0,cpp,1798900413,1760236609,0,cpp,1798866116,1760237637,0,cpp,1798891444,1760236306,0,cpp,1798855761
